EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
788424,ALAMEDA CO.,ALAMEDA NAS,11/23/2018,1553,Flood, , ,0,0,0,0,CA,PST-8, ,131820,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,NE,2,NE,ALAMEDA NAS,11/23/2018,1623,37.8078,-122.3054,37.808,-122.3054,"Roadway flooding reported at I880 S and 7th Street on ramp. Two vehicles currently stuck in water with a large amount of water on the on ramp.","A couple of storm systems moved through the region just before and on the Thanksgiving Holiday. These systems brought heavy rainfall and gusty winds resulting in minor debris flows and roadway flooding.",114
788432,ALAMEDA CO.,NILES,11/23/2018,2027,Debris Flow, , ,0,0,0,0,CA,PST-8, ,131820,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,N,1,N,NILES,11/23/2018,2057,37.5981,-121.9468,37.5978,-121.947,"Three mud slides blocking NB lanes of Palomares Rd and SR84.","A couple of storm systems moved through the region just before and on the Thanksgiving Holiday. These systems brought heavy rainfall and gusty winds resulting in minor debris flows and roadway flooding.",115
788429,ALAMEDA CO.,FREMONT,11/23/2018,2119,Flood, , ,0,0,0,0,CA,PST-8, ,131820,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,N,1,N,FREMONT,11/23/2018,2149,37.5457,-122.0238,37.5456,-122.0237,"Roadway flooding reported at I880 S and Thornton ave off ramp.","A couple of storm systems moved through the region just before and on the Thanksgiving Holiday. These systems brought heavy rainfall and gusty winds resulting in minor debris flows and roadway flooding.",116
788430,ALAMEDA CO.,ALVARADO,11/23/2018,2139,Flood, , ,0,0,0,0,CA,PST-8, ,131820,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,ENE,1,ENE,ALVARADO,11/23/2018,2209,37.6065,-122.0612,37.6064,-122.0613,"Roadway flooding reported at 2434 Whipple Road.","A couple of storm systems moved through the region just before and on the Thanksgiving Holiday. These systems brought heavy rainfall and gusty winds resulting in minor debris flows and roadway flooding.",117
788951,SAN FRANCISCO BAY SHORELINE (ZONE), ,11/28/2018,2256,Strong Wind,39.00, ,0,0,0,0,CA,PST-8,MG,131882,Z,508,MTR,0,0,ASOS, , , , , , , , ,11/28/2018,2300, , , , ,"Gusts of 45 mph recorded at KSFO.","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",118
788891,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,11/28/2018,2345,High Wind,54.00, ,0,0,0,0,CA,PST-8,MG,131882,Z,511,MTR,0,0,Mesonet, , , , , , , , ,11/28/2018,2350, , , , ,"","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",119
788868,ALAMEDA CO.,EMERYVILLE,11/29/2018,0,Heavy Rain, , ,0,0,0,0,CA,PST-8, ,131882,C,1,MTR,0,0,Broadcast Media, , , ,2,SSW,2,SSW,EMERYVILLE,11/29/2018,0,37.8185,-122.2881,37.8185,-122.2881,"Heavy rain causes a section of the roof at a West Oakland warehouse to cave in overnight. Timing of event is uncertain https://sanfrancisco.cbslocal.com/2018/11/29/potent-storm-brings-heavy-rain-pounding-surf-high-winds-and-flooding/.","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",120
788901,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,11/29/2018,757,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,MG,131882,Z,511,MTR,0,0,Mesonet, , , , , , , , ,11/29/2018,802, , , , ,"","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",121
788902,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,11/29/2018,845,Strong Wind,42.00, ,0,0,0,0,CA,PST-8,MG,131882,Z,511,MTR,0,0,RAWS, , , , , , , , ,11/29/2018,945, , , , ,"Gusts of 48 mph at Los Vaqueros RAWS.","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",122
788894,SAN FRANCISCO BAY SHORELINE (ZONE), ,11/29/2018,1140,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,EG,131882,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,11/29/2018,1145, , , , ,"Tree down in Oakland on McArthur Blvd.","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",123
788883,ALAMEDA CO.,SUNOL,11/29/2018,1613,Flood, , ,0,0,0,0,CA,PST-8, ,131882,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,E,2,E,SUNOL,11/29/2018,1643,37.6011,-121.8714,37.6011,-121.8717,"Flooding on SB I-680 at Koopman Rd.","A mid/upper level low moved through the region at the end of November. A cool unstable air mass allowed for the development of scattered thunderstorms across the region that produced lightning and small hail. An associated surface low approached the coast during this time causing high surf and gusty winds. Some locations saw wave heights above 25 feet. This system caused roadway flooding, minor debris flows, and downed trees along with damage from gusty winds.",124
791572,EAST BAY INTERIOR VALLEYS (ZONE), ,12/08/2018,2220,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132297,Z,510,MTR,0,0,ASOS, , , , , , , , ,12/09/2018,200, , , , ,"Concord airport recorded visibility of a quarter mile or less.","Interior valley fog that drifted into the East Bay brought visibility down to less than 1/4 mile. This prompted a Dense Fog Advisory to be issued for the East Bay valleys.",125
791571,EAST BAY INTERIOR VALLEYS (ZONE), ,12/09/2018,145,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132297,Z,510,MTR,0,0,ASOS, , , , , , , , ,12/09/2018,950, , , , ,"A quarter mile visibility or less was reported at Livermore Airport.","Interior valley fog that drifted into the East Bay brought visibility down to less than 1/4 mile. This prompted a Dense Fog Advisory to be issued for the East Bay valleys.",126
791577,EAST BAY INTERIOR VALLEYS (ZONE), ,12/11/2018,250,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132298,Z,510,MTR,0,0,ASOS, , , , , , , , ,12/11/2018,940, , , , ,"Dense fog and visibility a quarter of a mile or less reported at KLVK.","Widespread dense fog impacted the Bay Area blanketing the Bay and interior valleys. Numerous reports of dense fog with visibility less than 1/4 mile. A Dense Fog Advisory was issued for the North and East Bay Valleys as well as the San Francisco Peninsula and surrounding bay coastline. Fog caused numerous diverts at KSFO.",127
791574,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/11/2018,325,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132298,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/11/2018,1110, , , , ,"Visibility of a quarter of a mile or less reported at KOAK.","Widespread dense fog impacted the Bay Area blanketing the Bay and interior valleys. Numerous reports of dense fog with visibility less than 1/4 mile. A Dense Fog Advisory was issued for the North and East Bay Valleys as well as the San Francisco Peninsula and surrounding bay coastline. Fog caused numerous diverts at KSFO.",128
791573,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/11/2018,421,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132298,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/11/2018,545, , , , ,"Visibility at KSFO a quarter of a mile or less caused 19 diverts at the airport.","Widespread dense fog impacted the Bay Area blanketing the Bay and interior valleys. Numerous reports of dense fog with visibility less than 1/4 mile. A Dense Fog Advisory was issued for the North and East Bay Valleys as well as the San Francisco Peninsula and surrounding bay coastline. Fog caused numerous diverts at KSFO.",129
792088,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/20/2018,250,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132388,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/20/2018,455, , , , ,"Dense fog reported at KNUQ, ASOS reported fog and visibility a quarter of a mile or less.","Dense fog was observed in the early morning on December 20th around the San Francisco coastline and down the Santa Clara Valley. A dense fog advisory was issued for the San Francisco Bay coastline, the Santa Clara Valley, and over the San Francisco Bay south of the Bay Bridge. Visibilities were down to a quarter of a mile or less.",130
792087,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/20/2018,453,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132388,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/20/2018,645, , , , ,"Dense fog at KOAK, ASOS reported visibility a quarter of a mile or less.","Dense fog was observed in the early morning on December 20th around the San Francisco coastline and down the Santa Clara Valley. A dense fog advisory was issued for the San Francisco Bay coastline, the Santa Clara Valley, and over the San Francisco Bay south of the Bay Bridge. Visibilities were down to a quarter of a mile or less.",131
792089,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/20/2018,645,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132388,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/20/2018,805, , , , ,"Dense fog reported at KNUQ, ASOS recorded visibility a quarter of a mile or less.","Dense fog was observed in the early morning on December 20th around the San Francisco coastline and down the Santa Clara Valley. A dense fog advisory was issued for the San Francisco Bay coastline, the Santa Clara Valley, and over the San Francisco Bay south of the Bay Bridge. Visibilities were down to a quarter of a mile or less.",132
792086,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/20/2018,652,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132388,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/20/2018,715, , , , ,"Dense fog at KSFO, ASOS reported 1/4 mile visibility and fog.","Dense fog was observed in the early morning on December 20th around the San Francisco coastline and down the Santa Clara Valley. A dense fog advisory was issued for the San Francisco Bay coastline, the Santa Clara Valley, and over the San Francisco Bay south of the Bay Bridge. Visibilities were down to a quarter of a mile or less.",133
792090,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/20/2018,900,Dense Fog, , ,0,0,0,0,CA,PST-8, ,132388,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/20/2018,1015, , , , ,"Dense fog reported at KNUQ, ASOS recorded visibility a quarter of a mile or less with brief periods of vis up to 3/4 of a mile.","Dense fog was observed in the early morning on December 20th around the San Francisco coastline and down the Santa Clara Valley. A dense fog advisory was issued for the San Francisco Bay coastline, the Santa Clara Valley, and over the San Francisco Bay south of the Bay Bridge. Visibilities were down to a quarter of a mile or less.",134
792131,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,12/27/2018,1245,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,MG,132393,Z,511,MTR,0,0,RAWS, , , , , , , , ,12/27/2018,1345, , , , ,"Los Vaqueros RAWS reported the gust.","An upper level system moved through the region on the 27th into the 28th bringing dry and gusty offshore winds to the region. This prompted a Wind Advisory across the higher elevation areas. Winds gusted up to 55 mph in the higher peaks.",135
792340,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,12/31/2018,600,Strong Wind,39.00, ,0,0,0,0,CA,PST-8,MG,132401,Z,511,MTR,0,0,Mesonet, , , , , , , , ,12/31/2018,2040, , , , ,"PGE station at Highland Peak measured wind gusts around 45 mph peaking at 58 mph.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",136
792181,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/31/2018,935,Strong Wind,30.00, ,0,0,0,0,CA,PST-8,MS,132401,Z,508,MTR,0,0,ASOS, , , , , , , , ,12/31/2018,1040, , , , ,"SFO ASOS reported sustained winds of around 35 mph with gust to 40 mph.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",137
792169,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/31/2018,1057,Strong Wind,30.00, ,0,0,0,0,CA,PST-8,EG,132401,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,12/31/2018,1102, , , , ,"Tree down on Liberty Street between Walnut Ave and Sundale Dr.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",138
792168,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/31/2018,1300,Strong Wind,30.00, ,0,0,5000,0,CA,PST-8,EG,132401,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,12/31/2018,1330, , , , ,"A large pine tree blew over and smashed into a car in Niles Community Park. No injuries reported. Multiple other locations reported downed trees as well. Time is estimated https://sanfrancisco.cbslocal.com/2018/12/31/blustery-winds-batter-entire-bay-area/.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",139
792337,EAST BAY INTERIOR VALLEYS (ZONE), ,12/31/2018,1354,Strong Wind,31.00, ,0,0,0,0,CA,PST-8,MS,132401,Z,510,MTR,0,0,Mesonet, , , , , , , , ,12/31/2018,1400, , , , ,"Winds gusting to above 40 mph at Pittsburg Marina.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",140
792342,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,12/31/2018,2230,Strong Wind,43.00, ,0,0,0,0,CA,PST-8,MG,132401,Z,511,MTR,0,0,Mesonet, , , , , , , , ,12/31/2018,2359, , , , ,"Wind gusts around 50 mph at Grizzly Peak.","An amplifying ridge over the Pacific and a deep upper trough over the Great Basin provided the set up for strong northerly flow over most of central and northern California. Winds gusted as high as 78 mph up on Mt Saint Helena with widespread gusts of 40 to 60 mph reported. These winds prompted both Wind Advisory and Gale Warnings across much of the region. Numerous downed trees were reported and a fatality occurred on the San Francisco Bay as a result of these conditions.",141
795944,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,01/01/2019,310,Strong Wind,39.00, ,0,0,0,0,CA,PST-8,MS,133030,Z,511,MTR,0,0,Mesonet, , , , , , , , ,01/01/2019,320, , , , ,"Mesonet at Highland Peak road recorded gusts of 45 mph.","A dry upper low brought blustery conditions to the region into New Years Day. Gusty northerly winds were observed in the higher elevations of the North and East Bay. The highest peaks saw gusts of over 60 mph at Mt St Helena and Mt Diablo.",142
796255,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/05/2019,1337,Strong Wind,48.00, ,0,0,0,0,CA,PST-8,MG,133020,Z,508,MTR,0,0,ASOS, , , , , , , , ,01/05/2019,1342, , , , ,"San Francisco International Airport ASOS reported 55 mph peak wind gust.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",143
796288,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,01/05/2019,1350,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,MG,133020,Z,511,MTR,0,0,Mesonet, , , , , , , , ,01/05/2019,1400, , , , ,"Mesonet on Highland Peak Road measured gust of 46 mph.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",144
796051,ALAMEDA CO.,BAUMBERG,01/06/2019,1244,Flood, , ,0,0,0,0,CA,PST-8, ,133020,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,NNE,1,NNE,BAUMBERG,01/06/2019,1314,37.6428,-122.0953,37.6426,-122.0953,"Roadway flooding at I880 S and Jackson off ramp. Large amount of standing water on off ramp.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",145
796057,ALAMEDA CO.,ALAMEDA,01/06/2019,1406,Flood, , ,0,0,0,0,CA,PST-8, ,133020,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,N,2,N,ALAMEDA,01/06/2019,1436,37.7974,-122.2709,37.7973,-122.2708,"Flooding across off ramp of I800 N.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",146
796059,ALAMEDA CO.,PIEDMONT,01/06/2019,1458,Flood, , ,0,0,0,0,CA,PST-8, ,133020,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,S,1,S,PIEDMONT,01/06/2019,1528,37.8012,-122.2285,37.8013,-122.2289,"Standing water in all four lanes of I 580W at 14th Ave.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",147
796277,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/06/2019,1548,Strong Wind,30.00, ,1,0,0,0,CA,PST-8,MG,133020,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,01/06/2019,1553, , , , ,"A 250 foot eucalyptus tree toppled onto a car on Gaylet Road at UC Berkeley killing one man. Nearby CWOP station measured wind gust of 35 mph around that time https://sanfrancisco.cbslocal.com/2019/01/07/deadly-weekend-storms-batter-northern-california-more-rain-on-the-way/.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",148
796062,ALAMEDA CO.,ALBANY,01/06/2019,1552,Flood, , ,0,0,0,0,CA,PST-8, ,133020,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,2,W,2,W,ALBANY,01/06/2019,1600,37.8998,-122.3144,37.8998,-122.3143,"Flooding at I 580W and Central Ave off ramp, off ramp completely flooded.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",149
796096,ALAMEDA CO.,RAMON VLG,01/06/2019,1612,Flood, , ,0,0,0,0,CA,PST-8, ,133020,C,1,MTR,0,0,Law Enforcement,Heavy Rain, , ,1,ENE,1,ENE,RAMON VLG,01/06/2019,1642,37.7236,-121.939,37.7237,-121.939,"Slow lane flooded on I 680N and Alcosta Blvd off ramp.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",150
796410,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/06/2019,1630,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,MG,133020,Z,508,MTR,0,0,Mesonet, , , , , , , , ,01/06/2019,1645, , , , ,"Mesonet out of UC Berkeley measured wind gusts 46 mph.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",151
796264,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/06/2019,1857,Strong Wind,38.00, ,0,0,0,0,CA,PST-8,MG,133020,Z,508,MTR,0,0,ASOS, , , , , , , , ,01/06/2019,1902, , , , ,"San Francisco International Airport reported 44 mph peak wind gust.","A vigorous cold front swept through California on January 5th bringing widespread rainfall and gusty winds. Unstable air behind the frontal passage and sufficient low level shear allowed shallow thunderstorms to develop over the coastal waters, some of which contained rotating cells. Two waterspouts developed and made landfall as tornadoes on the 6th. Additionally, heavy rainfall and strong winds caused roadway flooding, minor debris flows, and numerous downed trees across the region. This storm system caused two fatalities; one caused by a downed tree in Berkeley and another man died in Santa Rosa Creek due to rising waters.",152
797234,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/09/2019,10,High Wind,50.00, ,0,0,0,0,CA,PST-8,MG,133022,Z,508,MTR,0,0,Mesonet, , , , , , , , ,01/09/2019,15, , , , ,"Mesonet station 3 miles SW Los Altos Hills.","A cold front moved through the region bringing widespread gusty winds. Wind gusts were observed as high as 79 mph with widespread gusts of over 50 mph.",153
797236,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/09/2019,30,Strong Wind,40.00, ,0,0,4000,0,CA,PST-8,EG,133022,Z,508,MTR,0,0,Broadcast Media, , , , , , , , ,01/09/2019,100, , , , ,"Tree blown down on a car in the 1300 block of Byrd in Los Altos Hills.","A cold front moved through the region bringing widespread gusty winds. Wind gusts were observed as high as 79 mph with widespread gusts of over 50 mph.",154
797343,EAST BAY HILLS AND THE DIABLO RANGE (ZONE), ,01/09/2019,128,Strong Wind,43.00, ,0,0,0,0,CA,PST-8,MG,133022,Z,511,MTR,0,0,RAWS, , , , , , , , ,01/09/2019,228, , , , ,"Las Trampas RAWS station measured gusts over 45 mph peaking at 49 mph.","A cold front moved through the region bringing widespread gusty winds. Wind gusts were observed as high as 79 mph with widespread gusts of over 50 mph.",155
797237,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/09/2019,512,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,EG,133022,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,01/09/2019,530, , , , ,"Tree down blocking NB lane.","A cold front moved through the region bringing widespread gusty winds. Wind gusts were observed as high as 79 mph with widespread gusts of over 50 mph.",156
797397,EAST BAY INTERIOR VALLEYS (ZONE), ,01/16/2019,1045,Strong Wind,40.00, ,0,0,0,0,CA,PST-8,EG,133275,Z,510,MTR,0,0,Department of Highways, , , , , , , , ,01/16/2019,1050, , , , ,"Large 100 year old tree down across the road.","A moderate to strong atmospheric river impacted much of California in the middle of the month. A weak surface low developed off the coast on January 15th bringing moderate to heavy rainfall to portions of the region. Over the next 24 to 36 hours a second strong low pressure system moved to the north and east bringing heavy rain, destructive winds, high surf, flooding, and thunderstorms to the Bay Area. Numerous reports were received of downed trees and power lines. Winds were recorded between 60 and 100 mph. Downed trees resulted in two fatalities.",157
797407,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/16/2019,1451,Strong Wind,46.00, ,0,0,0,0,CA,PST-8,MG,133275,Z,508,MTR,0,0,ASOS, , , , , , , , ,01/16/2019,1456, , , , ,"ASOS station at San Francisco Airport.","A moderate to strong atmospheric river impacted much of California in the middle of the month. A weak surface low developed off the coast on January 15th bringing moderate to heavy rainfall to portions of the region. Over the next 24 to 36 hours a second strong low pressure system moved to the north and east bringing heavy rain, destructive winds, high surf, flooding, and thunderstorms to the Bay Area. Numerous reports were received of downed trees and power lines. Winds were recorded between 60 and 100 mph. Downed trees resulted in two fatalities.",158
797412,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/16/2019,1523,Strong Wind,48.00, ,0,0,0,0,CA,PST-8,MG,133275,Z,508,MTR,0,0,ASOS, , , , , , , , ,01/16/2019,1528, , , , ,"ASOS station at San Francisco Airport.","A moderate to strong atmospheric river impacted much of California in the middle of the month. A weak surface low developed off the coast on January 15th bringing moderate to heavy rainfall to portions of the region. Over the next 24 to 36 hours a second strong low pressure system moved to the north and east bringing heavy rain, destructive winds, high surf, flooding, and thunderstorms to the Bay Area. Numerous reports were received of downed trees and power lines. Winds were recorded between 60 and 100 mph. Downed trees resulted in two fatalities.",159
